iter	Passed	Remaining
0	59	59339
1	59	29798
2	60	19946
3	60	15033
4	60	12067
5	60	10100
6	61	8693
7	61	7633
8	61	6808
9	62	6148
10	62	5609
11	62	5165
12	63	4784
13	63	4457
14	63	4175
15	63	3934
16	64	3731
17	64	3543
18	65	3370
19	65	3217
20	65	3075
21	66	2945
22	66	2831
23	66	2723
24	67	2623
25	67	2536
26	68	2451
27	68	2378
28	68	2307
29	69	2238
30	69	2173
31	69	2113
32	70	2055
33	70	2001
34	70	1949
35	71	1901
36	71	1855
37	71	1811
38	71	1770
39	72	1730
40	72	1692
41	72	1658
42	73	1624
43	73	1591
44	73	1561
45	73	1531
46	74	1503
47	74	1475
48	74	1449
49	74	1423
50	75	1399
51	75	1376
52	75	1353
53	76	1333
54	76	1313
55	76	1292
56	76	1273
57	77	1254
58	77	1235
59	77	1218
60	78	1202
61	78	1185
62	78	1171
63	79	1155
64	79	1141
65	79	1128
66	80	1115
67	80	1101
68	80	1088
69	81	1077
70	81	1064
71	81	1052
72	81	1040
73	82	1028
74	82	1017
75	82	1007
76	83	997
77	83	988
78	84	980
79	84	970
80	85	964
81	85	956
82	85	946
83	85	937
84	86	929
85	86	920
86	86	912
87	87	903
88	87	895
89	87	887
90	88	879
91	88	872
92	88	865
93	89	858
94	89	852
95	89	845
96	90	838
97	90	831
98	90	826
99	91	819
100	91	813
101	91	809
102	92	803
103	92	797
104	92	792
105	93	785
106	93	780
107	93	775
108	94	769
109	94	765
110	95	762
111	95	758
112	96	753
113	96	749
114	96	744
115	96	738
116	97	732
117	97	727
118	97	723
119	98	719
120	98	715
121	98	710
122	99	706
123	99	703
124	99	699
125	100	695
126	100	690
127	100	686
128	101	682
129	101	678
130	101	674
131	101	670
132	102	666
133	102	662
134	102	658
135	103	655
136	103	651
137	103	648
138	104	644
139	104	641
140	104	638
141	104	633
142	105	630
143	105	626
144	105	623
145	106	620
146	106	617
147	106	614
148	106	610
149	107	607
150	107	604
151	107	601
152	108	598
153	108	595
154	108	592
155	108	589
156	109	586
157	109	583
158	109	580
159	110	578
160	110	575
161	110	573
162	111	570
163	111	568
164	111	566
165	112	564
166	112	561
167	112	559
168	113	556
169	113	553
170	113	551
171	114	549
172	114	547
173	114	545
174	115	542
175	115	540
176	115	538
177	116	536
178	116	533
179	116	531
180	116	529
181	117	526
182	117	525
183	117	522
184	118	520
185	118	518
186	118	516
187	119	514
188	119	512
189	119	510
190	120	508
191	120	506
192	120	504
193	120	502
194	121	500
195	121	498
196	121	496
197	122	494
198	122	493
199	122	491
200	123	489
201	123	487
202	123	485
203	123	483
204	124	481
205	124	479
206	124	477
207	125	476
208	125	474
209	125	473
210	126	472
211	126	471
212	127	469
213	127	468
214	127	466
215	128	465
216	128	463
217	128	461
218	129	460
219	129	458
220	129	457
221	130	456
222	130	455
223	131	453
224	131	452
225	131	450
226	131	449
227	132	447
228	132	446
229	132	444
230	133	443
231	133	441
232	133	440
233	133	438
234	134	436
235	134	435
236	134	433
237	135	432
238	135	430
239	135	429
240	135	428
241	136	426
242	136	425
243	136	423
244	137	422
245	137	420
246	137	419
247	137	418
248	138	417
249	138	416
250	138	414
251	139	413
252	139	412
253	139	410
254	140	409
255	140	408
256	140	407
257	141	406
258	141	406
259	142	404
260	142	404
261	143	402
262	143	401
263	143	400
264	143	399
265	144	397
266	144	397
267	145	396
268	145	395
269	145	394
270	146	393
271	146	392
272	146	390
273	147	389
274	147	388
275	147	387
276	148	386
277	148	385
278	148	384
279	149	383
280	149	382
281	149	381
282	150	380
283	150	378
284	150	378
285	150	376
286	151	375
287	151	374
288	151	373
289	152	372
290	152	371
291	152	369
292	152	368
293	153	367
294	153	366
295	153	365
296	154	364
297	154	363
298	154	362
299	154	361
300	155	360
301	155	359
302	155	358
303	156	357
304	156	356
305	156	355
306	157	355
307	157	354
308	158	353
309	158	353
310	159	352
311	159	351
312	159	350
313	160	349
314	160	349
315	161	349
316	162	349
317	162	348
318	163	347
319	163	347
320	163	346
321	163	345
322	164	344
323	164	343
324	164	342
325	165	341
326	165	340
327	165	339
328	165	338
329	166	337
330	166	336
331	166	335
332	166	334
333	167	333
334	167	332
335	167	331
336	168	331
337	168	330
338	168	329
339	169	328
340	169	327
341	169	326
342	170	325
343	170	325
344	170	324
345	171	323
346	171	322
347	171	321
348	171	320
349	172	320
350	172	319
351	173	318
352	173	318
353	174	317
354	174	316
355	174	315
356	174	314
357	175	314
358	175	313
359	175	312
360	176	311
361	176	311
362	177	310
363	178	311
364	178	310
365	178	309
366	179	309
367	179	308
368	179	307
369	179	306
370	180	305
371	180	304
372	180	304
373	181	303
374	181	302
375	181	301
376	182	300
377	182	300
378	182	299
379	183	298
380	183	297
381	183	297
382	183	296
383	184	295
384	184	294
385	184	293
386	184	292
387	185	292
388	185	291
389	185	290
390	186	289
391	186	288
392	186	288
393	186	287
394	187	286
395	187	286
396	188	285
397	188	285
398	188	284
399	189	283
400	189	283
401	190	282
402	190	282
403	190	281
404	190	280
405	191	279
406	191	279
407	192	278
408	192	278
409	192	277
410	193	276
411	193	276
412	194	275
413	194	275
414	194	274
415	194	273
416	195	272
417	195	272
418	195	271
419	196	270
420	196	270
421	196	269
422	196	268
423	197	267
424	197	267
425	197	266
426	198	265
427	198	265
428	198	264
429	199	263
430	199	263
431	199	262
432	199	261
433	200	261
434	200	260
435	200	259
436	201	259
437	201	258
